type,name
base,openssh-client
base,openssh-client
base,x11-xserver-utils
base,python-gconf
base,vim
base,vim-common
base,network-manager
base,network-manager-openvpn
base,wireless-tools
base,libbluetooth3
base,pulseaudio-module-bluetooth
base,pulseaudio-module-x11
base,xserver-xorg-video-intel
base,acpi-support
base,cups
base,xfonts-base
base,xfonts-encodings
base,xfonts-scalable
base,xfonts-utils
base,fontconfig
base,fontconfig-config
base,dmz-cursor-theme
base,xcursor-themes
base,laptop-detect
base,xinit
lib,libssh-4
lib,libnm-glib-vpn1
lib,libfont-afm-perl
lib,libfontconfig1
lib,libfontembed1
lib,libfontenc1
lib,libxcursor1
lib,libwayland-cursor0
lib,libbluetooth3
lib,libx11-xcb-dev
lib,libx11-dev
lib,libxinerama-dev
lib,libxft-dev
lib,libwebkitgtk-3.0-dev
lib,libgtk-3-dev
lib,libwebkit2gtk-4.0-dev
lib,libgcr-3-dev
lib,libjpeg-dev
lib,libncurses-dev
lib,libncursesw5-dev 
lib,libzip-dev 
lib,libzip4
tools,git
tools,feh
tools,setfacl
